公司名称,公司链接,上班地址,行政区,发布时间,学历,月薪,经验,招聘人数,城市,职业名,公司类型,公司总人数
石家庄达内软件科技有限公司,http://special.zhaopin.com/pagepublish/46864202/index.html,一环就近分配,,2019-04-28 09:13:27,大专,2千-4千,1年以下,1,石家庄,行政前台 3500五险一金,"计算机软件,IT服务(系统/数据/维护),计算机硬件,互联网/电子商务",1000-9999人
石家庄达内软件科技有限公司,http://special.zhaopin.com/pagepublish/46864202/index.html,中山华府,,2019-04-28 09:13:26,本科,6千-8千,1-3年,2,石家庄,上市公司教务老师 月薪6K+双休五险一金,"计算机软件,IT服务(系统/数据/维护),计算机硬件,互联网/电子商务",1000-9999人
石家庄达内软件科技有限公司,http://special.zhaopin.com/pagepublish/46864202/index.html,河北省石家庄市东方大厦,,2019-04-28 10:15:53,本科,6千-8千,1-3年,5,石家庄,大学生班主任  底薪4000+五险一金+周末双休,"计算机软件,IT服务(系统/数据/维护),计算机硬件,互联网/电子商务",1000-9999人
石家庄达内软件科技有限公司,http://special.zhaopin.com/pagepublish/46864202/index.html,中山华府,,2019-04-28 09:13:26,本科,6千-8千,1-3年,2,石家庄,大学生班主任月薪6K+双休五险一金,"计算机软件,IT服务(系统/数据/维护),计算机硬件,互联网/电子商务",1000-9999人
北京华信智原教育技术有限公司河北分公司,http://company.zhaopin.com/CZ284641380.htm,石家庄桥西区石家庄市红旗大街与汇丰路交口西美花街大厦17层,,2019-04-29 08:26:15,大专,4千-6千,不限,3,石家庄,广告动画后期处理,"计算机软件,互联网/电子商务",20-99人
石家庄达内软件科技有限公司,http://special.zhaopin.com/pagepublish/46864202/index.html,中山华府,,2019-04-28 09:13:24,本科,6千-8千,1-3年,2,石家庄,辅导员班主任双休五险一金,"计算机软件,IT服务(系统/数据/维护),计算机硬件,互联网/电子商务",1000-9999人
石家庄达内软件科技有限公司,http://special.zhaopin.com/pagepublish/46864202/index.html,河北省石家庄市一环就近安排,,2019-04-28 10:15:47,本科,6千-8千,1-3年,5,石家庄,辅导员班主任  五险一金  月薪6k+,"计算机软件,IT服务(系统/数据/维护),计算机硬件,互联网/电子商务",1000-9999人
河北中废通网络技术有限公司,http://special.zhaopin.com/pagepublish/64831122/index.html,石家庄市中山路11号乐汇城C座8层,,2019-04-27 14:53:55,大专,4.5千-9千,1-3年,1,石家庄,企业合作部经理,"互联网/电子商务,其他,IT服务(系统/数据/维护)",100-499人
石家庄达内软件科技有限公司,http://special.zhaopin.com/pagepublish/46864202/index.html,河北省石家庄市一环就近安排,,2019-04-28 10:17:46,本科,6千-8千,1-3年,5,石家庄,大学生教务管理周末双休五险一金月薪6k+,"计算机软件,IT服务(系统/数据/维护),计算机硬件,互联网/电子商务",1000-9999人
石家庄达内软件科技有限公司,http://special.zhaopin.com/pagepublish/46864202/index.html,中山华府,,2019-04-28 09:13:30,本科,6千-8千,1-3年,2,石家庄,教务管理老师 双休五险一金,"计算机软件,IT服务(系统/数据/维护),计算机硬件,互联网/电子商务",1000-9999人
北京华信智原教育技术有限公司河北分公司,http://company.zhaopin.com/CZ284641380.htm,红旗南大街与汇丰路交叉口西美花街大厦17层,,2019-04-28 08:30:26,不限,4千-6千,不限,6,石家庄,网络营销推广助理/双休,"计算机软件,互联网/电子商务",20-99人
石家庄达内软件科技有限公司,http://special.zhaopin.com/pagepublish/46864202/index.html,河北省石家庄市一环就近安排,,2019-04-28 10:15:48,本科,6千-8千,1-3年,5,石家庄,（上市外企）教务管理/班主任,"计算机软件,IT服务(系统/数据/维护),计算机硬件,互联网/电子商务",1000-9999人
石家庄达内软件科技有限公司,http://special.zhaopin.com/pagepublish/46864202/index.html,河北省石家庄市就近安排,,2019-04-28 10:15:18,大专,2千-4千,不限,1,石家庄,行政助理月薪3500五险一金,"计算机软件,IT服务(系统/数据/维护),计算机硬件,互联网/电子商务",1000-9999人
石家庄达内软件科技有限公司,http://special.zhaopin.com/pagepublish/46864202/index.html,河北省石家庄市一环就近安排,,2019-04-28 10:17:46,本科,6千-8千,1-3年,5,石家庄,大学生班主任  底薪4000+五险一金,"计算机软件,IT服务(系统/数据/维护),计算机硬件,互联网/电子商务",1000-9999人
石家庄达内软件科技有限公司,http://special.zhaopin.com/pagepublish/46864202/index.html,河北省石家庄市一环就近安排,,2019-04-28 10:15:48,本科,6千-8千,1-3年,5,石家庄,(上市外企）教务管理/班主任,"计算机软件,IT服务(系统/数据/维护),计算机硬件,互联网/电子商务",1000-9999人
石家庄达内童程科技有限公司,http://company.zhaopin.com/CZ603360530.htm,石家庄东方大厦写字楼1101室,桥西区,2019-04-28 19:00:50,大专,4千-6千,1-3年,1,石家庄,教务督导  双休 五险一金,教育/培训/院校,10000人以上
石家庄达内软件科技有限公司,http://special.zhaopin.com/pagepublish/46864202/index.html,河北省石家庄市一环就近安排,,2019-04-28 10:17:48,本科,6千-8千,1-3年,5,石家庄,就业指导经理  月薪8000-双休-五险一金,"计算机软件,IT服务(系统/数据/维护),计算机硬件,互联网/电子商务",1000-9999人
石家庄达内童程科技有限公司,http://company.zhaopin.com/CZ603360530.htm,东方大厦,桥西区,2019-04-29 09:38:35,本科,4千-6千,不限,1,石家庄,上市外企 教务督导 双休 五险一金,教育/培训/院校,10000人以上
石家庄达内童程科技有限公司,http://company.zhaopin.com/CZ603360530.htm,秦皇岛东大街225号五楼（沃金商厦马路正对面）,桥西区,2019-04-29 09:38:37,大专,4千-6千,不限,1,石家庄,教务督导 双休 五险一金,教育/培训/院校,10000人以上
石家庄童程童美培训学校有限公司,http://company.zhaopin.com/CZ818838730.htm,东方大厦,桥西区,2019-04-29 10:02:54,大专,4千-6千,不限,1,石家庄,教务督导 双休 五险一金,教育/培训/院校,10000人以上
石家庄童程童美培训学校有限公司,http://company.zhaopin.com/CZ818838730.htm,东方大厦11层,桥西区,2019-04-29 10:03:06,大专,4千-6千,不限,1,石家庄,教务督导 双休 五险一金,教育/培训/院校,10000人以上
石家庄童程童美培训学校有限公司,http://company.zhaopin.com/CZ818838730.htm,乐汇城,桥西区,2019-04-29 10:02:53,本科,4千-6千,不限,1,石家庄,上市外企 教务督导 双休 五险一金,教育/培训/院校,10000人以上
石家庄市长安区佳鑫诺培训学校,http://company.zhaopin.com/CZ349646010.htm,怀特聚星城,裕华区,2019-04-29 10:40:31,本科,6千-8千,不限,2,石家庄,体操教师,教育/培训/院校,100-499人
河北奇速网络科技有限公司,http://company.zhaopin.com/CZ399264530.htm,石家庄长安区建华大街与光华路交叉口百川大厦A座21楼,,2019-04-29 10:41:50,大专,8千-1万,1-3年,2,石家庄,sem竞价,互联网/电子商务,20-99人
河北奇速网络科技有限公司,http://company.zhaopin.com/CZ399264530.htm,石家庄长安区建华大街与光华路交叉口百川大厦A座21楼,,2019-04-29 10:42:01,大专,8千-1万,1-3年,1,石家庄,高薪诚聘SEM优化师,互联网/电子商务,20-99人
北京万古恒信科技有限公司,http://company.zhaopin.com/CZ661273420.htm,石家庄裕华区建华南大街与东岗路交叉口东行30米路南石门新天地C座4楼,,2019-04-29 13:29:12,大专,6千-8千,1-3年,10,石家庄,阿里健康药师、医师客服团队主管,"专业服务/咨询(财会/法律/人力资源等),外包服务",10000人以上
河北奇速网络科技有限公司,http://company.zhaopin.com/CZ399264530.htm,石家庄长安区建华大街与光华路交叉口百川大厦A座21楼,,2019-04-29 14:39:31,大专,8千-1万,1-3年,1,石家庄,百度/360/搜狗SEM,互联网/电子商务,20-99人
北京万古恒信科技有限公司,http://company.zhaopin.com/%E5%8C%97%E4%BA%AC%E4%B8%87%E5%8F%A4%E6%81%92%E4%BF%A1%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC206322616.htm,石家庄裕华区建华南大街与东岗路交叉口东行30米路南石门新天地C座4楼,裕华区,2019-04-29 12:03:31,大专,6千-8千,1-3年,10,石家庄,药师 医师团队主管,"交通/运输,其他,通信/电信运营、增值服务",100-499人
北京万古恒信科技有限公司,http://company.zhaopin.com/%E5%8C%97%E4%BA%AC%E4%B8%87%E5%8F%A4%E6%81%92%E4%BF%A1%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC206322616.htm,石家庄裕华区建华南大街与东岗路交叉口东行30米路南石门新天地C座4楼,裕华区,2019-04-29 12:03:31,大专,6千-8千,3-5年,5,石家庄,阿里健康药师、医师客服团队管理岗,"交通/运输,其他,通信/电信运营、增值服务",100-499人
北京万古恒信科技有限公司,http://company.zhaopin.com/%E5%8C%97%E4%BA%AC%E4%B8%87%E5%8F%A4%E6%81%92%E4%BF%A1%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC206322616.htm,石家庄裕华区建华南大街与东岗路交叉口东行30米路南石门新天地C座4楼,裕华区,2019-04-29 12:03:32,大专,6千-8千,1-3年,5,石家庄,药师 医师主管,"交通/运输,其他,通信/电信运营、增值服务",100-499人
河北常山生化药业股份有限公司,http://special.zhaopin.com/hb/2012/hbsh051893/index.html,河北省石家庄市正定新区银川大街北首,,2019-04-26 09:02:36,大专,4千-6千,3-5年,1,石家庄,电商运营专员,"医药/生物工程,医疗/护理/美容/保健/卫生服务,医疗设备/器械,贸易/进出口",1000-9999人
