公司名称,公司链接,上班地址,行政区,发布时间,学历,月薪,经验,招聘人数,城市,职业名,公司类型,公司总人数
河北呵玛装饰工程有限公司,http://company.zhaopin.com/CZ822095550.htm,石家庄桥西区塔坛国际8号写字楼1210,,2019-04-29 13:42:48,不限,3千-5千,不限,3,石家庄,3000+诚聘订单员,"家居/室内设计/装饰装潢,家居/室内设计/装饰装潢,耐用消费品（服饰/纺织/皮革/家具/家电）,互联网/电子商务",20-99人
河北道尔门窗科技有限公司,http://company.zhaopin.com/CZ813994520.htm,鹿泉区上庄镇京赞公路上庄大街199号,,2019-04-25 15:55:10,大专,4千-6千,3-5年,1,石家庄,总账会计,"加工制造（原料加工/模具）,加工制造（原料加工/模具）",100-499人
河北腾凯控股集团有限公司,http://special.zhaopin.com/pagepublish/26111478/index.html,裕华区谈固南大街东岗路北行100米路东，腾凯商务5楼,新华区,2019-04-22 17:25:21,大专,2千-4千,1-3年,1,石家庄,话务员,"基金/证券/期货/投资,房地产/建筑/建材/工程,酒店/餐饮,跨领域经营",100-499人
石家庄大尊网络科技有限公司,http://special.zhaopin.com/2018/sjz/11104/sjzd092046/,桥西区中山西路梧桐商务16楼,,2019-04-25 13:51:40,大专,4千-6千,不限,5,石家庄,淘宝运营推广助理专员 天猫店长实习生 ,"互联网/电子商务,IT服务(系统/数据/维护)",100-499人
北京奈雪餐饮管理有限公司,http://company.zhaopin.com/CZ609422180.htm,万象城,,2019-04-26 17:27:17,不限,5千-8千,不限,1,石家庄,奈雪的茶管理组（石家庄）,酒店/餐饮,1000-9999人
石家庄新东方学校,http://company.zhaopin.com/CZ392127020.htm,石家庄市槐安路建华大街交叉口万达广场写字楼C座24层,,2019-04-23 17:00:10,本科,4千-8千,3-5年,1,石家庄,人力资源部招聘经理,教育/培训/院校,100-499人
石家庄艾猫科技有限公司,http://company.zhaopin.com/CZ845122480.htm,长安区广安大街36号银泰国际A座1804,,2019-04-28 09:16:47,本科,2千-4千,不限,1,石家庄,管培生--市场营销方向,"互联网/电子商务,专业服务/咨询(财会/法律/人力资源等)",20-99人
河北呵玛装饰工程有限公司,http://company.zhaopin.com/CZ822095550.htm,石家庄桥西区塔坛国际8号写字楼1212,,2019-04-29 13:44:41,大专,3千-5千,1-3年,2,石家庄,5000+诚聘培训经理,"家居/室内设计/装饰装潢,家居/室内设计/装饰装潢,耐用消费品（服饰/纺织/皮革/家具/家电）,互联网/电子商务",20-99人
江西飞尚科技有限公司,http://company.zhaopin.com/CZ225831320.htm,南昌小兰经济开发区玉湖路398号,,2019-04-25 09:39:56,大专,4千-6千,不限,3,石家庄,销售经理（底薪5k+提成+项目利润分成）,"电子技术/半导体/集成电路,仪器仪表及工业自动化,IT服务(系统/数据/维护),房地产/建筑/建材/工程",100-499人
河北空元健康管理咨询有限公司,http://company.zhaopin.com/CZ528612180.htm,河北省石家庄市新华区新华路华海环球24层,,2019-04-28 19:21:35,大专,3.5千-4.5千,1-3年,1,石家庄,新媒体运营,"医疗/护理/美容/保健/卫生服务,医疗设备/器械,零售/批发,跨领域经营",100-499人
深圳市前海鑫屹资产管理有限公司,http://company.zhaopin.com/CZ560880380.htm,天山大街109号,,2019-04-28 17:49:53,本科,4千-8千,1-3年,3,石家庄,融资专员,基金/证券/期货/投资,100-499人
石家庄罗尼网络科技有限公司,http://company.zhaopin.com/CZ636635530.htm,桥西区休门街3号滨江优谷大厦1806,,2019-04-23 20:29:59,不限,3千-6千,不限,2,石家庄,电商客服,"互联网/电子商务,互联网/电子商务,网络游戏,IT服务(系统/数据/维护)",20-99人
石家庄君乐宝乳业有限公司,http://special.zhaopin.com/2016/sjz/sjzj030139,石铜路36号君乐宝乳业集团,鹿泉区,2019-04-29 10:33:55,不限,2千-4千,1-3年,1,石家庄,招聘专员,"快速消费品（食品/饮料/烟酒/日化）,快速消费品（食品/饮料/烟酒/日化）",1000-9999人
江西飞尚科技有限公司,http://company.zhaopin.com/CZ225831320.htm,石家庄,,2019-04-28 16:17:01,大专,8千-1万,不限,5,石家庄,销售经理,"电子技术/半导体/集成电路,仪器仪表及工业自动化,IT服务(系统/数据/维护),房地产/建筑/建材/工程",100-499人
上海美特斯邦威服饰股份有限公司,http://special.zhaopin.com/sh/2011/mtsbw071274/index.htm,石家庄桥西区中山西路121号,,2019-04-28 16:01:15,大专,3千-5千,1-3年,1,石家庄,商品专员,"耐用消费品（服饰/纺织/皮革/家具/家电）,零售/批发,互联网/电子商务,其他",1000-9999人
河北呵玛装饰工程有限公司,http://company.zhaopin.com/CZ822095550.htm,石家庄桥西区塔坛国际8号写字楼1210,,2019-04-23 13:58:03,大专,4千-6千,不限,1,石家庄,企划文案,"家居/室内设计/装饰装潢,家居/室内设计/装饰装潢,耐用消费品（服饰/纺织/皮革/家具/家电）,互联网/电子商务",20-99人
北京薪享宏福教育咨询有限公司,http://company.zhaopin.com/CZ819930900.htm,北京市昌平区北七家镇温度水城火炬广场北街1号西侧4层,,2019-04-29 10:04:29,大专,4千-6千,不限,1,石家庄,人事专员,教育/培训/院校,100-499人
石家庄以岭药业股份有限公司,http://special.zhaopin.com/sjz/11146/ylyy022678,石家庄市东开发区天山大街238号,,2019-04-24 11:32:36,本科,6千-1.2万,3-5年,1,石家庄,内容运营经理2698,"医药/生物工程,互联网/电子商务,快速消费品（食品/饮料/烟酒/日化）,医疗/护理/美容/保健/卫生服务",1000-9999人
上海维音信息技术股份有限公司邯郸分公司,http://company.zhaopin.com/CZ598647630.htm,邯郸,,2019-04-28 09:22:22,大专,5千-7千,1-3年,4,石家庄,呼叫中心客服主管,外包服务,500-999人
河北先河环保科技股份有限公司,http://special.zhaopin.com/2018/sh/hbxh011599w/,石家庄市高新区湘江大道251号,,2019-04-28 22:18:03,本科,5千-1万,不限,1,石家庄,算法工程师,"仪器仪表及工业自动化,环保,电子技术/半导体/集成电路",500-999人
石家庄君乐宝乳业有限公司,http://special.zhaopin.com/2016/sjz/sjzj030139,石家庄市鹿泉市石铜路36号,,2019-04-29 10:33:55,本科,4千-4.5千,1-3年,1,石家庄,招聘专员,"快速消费品（食品/饮料/烟酒/日化）,快速消费品（食品/饮料/烟酒/日化）",1000-9999人
河北秦川文体乐器有限公司,http://special.zhaopin.com/2017/sjz/11217/hbqc042182,建设北大街38号,,2019-04-20 14:11:04,大专,2千-4千,1-3年,1,石家庄,采购专员,"教育/培训/院校,教育/培训/院校,媒体/出版/影视/文化传播",100-499人
石家庄罗尼网络科技有限公司,http://company.zhaopin.com/CZ636635530.htm,桥西区休门街3号滨江优谷大厦1806,,2019-04-23 20:35:46,不限,4千-8千,不限,2,石家庄,电商运营,"互联网/电子商务,互联网/电子商务,网络游戏,IT服务(系统/数据/维护)",20-99人
北京倍舒特科技发展有限公司,http://company.zhaopin.com/P2/CC2094/6521/CC209465216.htm,长安区中山东路466号，新世纪钻石广场A座21层2120,长安区,2019-04-20 08:38:57,大专,3.5千-5千,1-3年,1,石家庄,销售助理,"快速消费品（食品/饮料/烟酒/日化）,耐用消费品（服饰/纺织/皮革/家具/家电）,零售/批发,医药/生物工程",500-999人
河北呵玛装饰工程有限公司,http://company.zhaopin.com/CZ822095550.htm,石家庄桥西区塔坛商贸城8号写字楼1210,,2019-04-23 13:58:03,大专,5千-8千,1-3年,3,石家庄,5000+CAD设计师,"家居/室内设计/装饰装潢,家居/室内设计/装饰装潢,耐用消费品（服饰/纺织/皮革/家具/家电）,互联网/电子商务",20-99人
河北盛邦房地产开发有限公司,http://special.zhaopin.com/sjz/2013/hbsb102466/,面试请到裕华区龙腾路56号盛邦花园二区客服中心二楼行政部,,2019-04-23 10:46:34,大专,6千-8千,3-5年,1,石家庄,平台运营经理,"房地产/建筑/建材/工程,教育/培训/院校,互联网/电子商务,物业管理/商业中心",1000-9999人
中国勒泰商业地产集团,http://company.zhaopin.com/CZ579581520.htm,长安区中山东路39号勒泰B座写字楼8楼,,2019-04-26 10:04:26,本科,4千-6千,3-5年,1,石家庄,商管事业部运营主管,"房地产/建筑/建材/工程,物业管理/商业中心",1000-9999人
厦门雅瑞光学有限公司,http://company.zhaopin.com/CZ358167910.htm,桥西区中山西路18号中振广场北侧1号商铺,,2019-04-22 19:12:04,大专,2千-4千,1-3年,1,石家庄,销售助理-石家庄,"零售/批发,加工制造（原料加工/模具）",1000-9999人
石家庄君乐宝乳业有限公司,http://special.zhaopin.com/2016/sjz/sjzj030139,鹿泉区石铜路36号,,2019-04-29 10:34:06,本科,2万-3万,5-10年,1,石家庄,质量总监,"快速消费品（食品/饮料/烟酒/日化）,快速消费品（食品/饮料/烟酒/日化）",1000-9999人
郑州思念食品有限公司,http://special.zhaopin.com/zz/2013/11087/slsp110459,石家庄市经济技术开发区珠峰大街天山水榭花都小区40楼,,2019-04-28 08:51:48,大专,4千-6千,1-3年,1,石家庄,营管专员（物流专员）,"快速消费品（食品/饮料/烟酒/日化）,房地产/建筑/建材/工程,跨领域经营,其他",10000人以上
河北壹早壹碗餐饮管理有限公司,http://company.zhaopin.com/CZ433974280.htm,河北壹早壹碗餐饮管理有限公司,,2019-04-24 17:11:03,大专,2千-4千,1-3年,1,石家庄,运营经理助理,酒店/餐饮,100-499人
瑞保文化传媒有限公司,http://company.zhaopin.com/CZ449214880.htm,石家庄市长安区和平路建和园,长安区,2019-04-25 15:34:54,大专,2千-4千,不限,2,石家庄,人事专员+双休,"互联网/电子商务,快速消费品（食品/饮料/烟酒/日化）,互联网/电子商务,耐用消费品（服饰/纺织/皮革/家具/家电）",20人以下
石家庄君乐宝乳业有限公司,http://special.zhaopin.com/2016/sjz/sjzj030139,石家庄君乐宝乳业有限公司,鹿泉区,2019-04-29 10:34:08,硕士,3.5千-4.5千,1年以下,2,石家庄,采购专员,"快速消费品（食品/饮料/烟酒/日化）,快速消费品（食品/饮料/烟酒/日化）",1000-9999人
太平人寿保险有限公司河北分公司,http://company.zhaopin.com/CZ214137110.htm,石家庄市桥西区自强路127-B号省招大厦15-16层,,2019-04-24 18:28:03,本科,4千-6千,不限,999,石家庄,保费部-人员管理岗,保险,1000-9999人
皆柏贸易(杭州)有限公司,http://company.zhaopin.com/CZ204352010.htm,石家庄市桥西区中山西路108号,,2019-04-24 10:19:31,中专,5千-1万,不限,16,石家庄,导购、店长 石家庄,"贸易/进出口,耐用消费品（服饰/纺织/皮革/家具/家电）,零售/批发",1000-9999人
河北顺诺商贸有限公司,http://company.zhaopin.com/CZ595012020.htm,怀特商业广场D座13层,裕华区,2019-04-24 09:17:41,大专,3千-4千,1年以下,1,石家庄,物流统计文员,"快速消费品（食品/饮料/烟酒/日化）,广告/会展/公关",100-499人
华北碧水源水务有限公司,http://company.zhaopin.com/CC317831389.htm,滨江金界,桥西区,2019-04-26 19:22:01,大专,3千-4千,3-5年,5,石家庄,投标专员,环保,20-99人
河北速恒贸易有限公司,http://company.zhaopin.com/CZ332612580.htm,河北省石家庄市裕华区,裕华区,2019-04-29 08:42:29,不限,1万-1.5万,不限,1,石家庄,网店运营,"互联网/电子商务,耐用消费品（服饰/纺织/皮革/家具/家电）,零售/批发,酒店/餐饮",20-99人
青岛越秀地产开发有限公司,http://company.zhaopin.com/CC353498713.htm,石家庄,,2019-04-28 08:58:51,本科,2万-3万,3-5年,1,石家庄,投资拓展经理,房地产/建筑/建材/工程,10000人以上
石家庄罗尼网络科技有限公司,http://company.zhaopin.com/CZ636635530.htm,桥西区休门街3号滨江优谷大厦1806,,2019-04-23 20:32:16,不限,4千-8千,不限,2,石家庄,亚马逊海外电商运营,"互联网/电子商务,互联网/电子商务,网络游戏,IT服务(系统/数据/维护)",20-99人
石家庄新东方学校,http://company.zhaopin.com/CZ392127020.htm,石家庄市槐安路建华大街交叉口万达广场写字楼C座24层,,2019-04-23 16:58:47,本科,3千-6千,不限,1,石家庄,人力资源部招聘专员,教育/培训/院校,100-499人
河北万方中天科技有限公司,http://special.zhaopin.com/sjz/2013/11172/ztkj061863,石家庄广安街36号时代方舟B座21层,,2019-04-25 17:27:08,大专,5千-1万,3-5年,4,石家庄,Java开发工程师（中高级）,"IT服务(系统/数据/维护),计算机软件,计算机硬件",100-499人
博宇科技股份有限公司,http://special.zhaopin.com/pagepublish/31295688/index.html,石家庄市高新区兴安大街222号方亿科技工业园B区7号楼4层,东开发区,2019-04-28 10:51:05,本科,4千-6千,1-3年,2,石家庄,会计,"计算机软件,计算机硬件,互联网/电子商务,IT服务(系统/数据/维护)",100-499人
南京乐宠乐家生物制药有限公司,http://company.zhaopin.com/CC372422687.htm,裕华区槐北路,裕华区,2019-04-22 11:02:03,本科,1万-2万,1-3年,1,石家庄,省区销售经理,医药/生物工程,20-99人
石家庄兴涛电子科技有限公司,http://company.zhaopin.com/CZ514374980.htm,石家庄桥西区南小街金裕商务402,,2019-04-26 17:51:06,不限,3千-5千,不限,3,石家庄,售后维护,"快速消费品（食品/饮料/烟酒/日化）,互联网/电子商务,耐用消费品（服饰/纺织/皮革/家具/家电）",100-499人
河北旭尊实业集团有限公司石家庄第一分公司,http://company.zhaopin.com/CC453479588.htm,长安区东大街5号开元金融中心7楼,,2019-04-22 11:11:04,大专,8千-1万,1-3年,2,石家庄,团队经理8700起,基金/证券/期货/投资,100-499人
石家庄百乾教育科技有限公司,http://company.zhaopin.com/CZ836645670.htm,中华大街裕华路交口海悦天地三楼,,2019-04-22 09:44:18,大专,4千-6千,1-3年,1,石家庄,国际早教中心市场经理,教育/培训/院校,20-99人
江苏实朴检测服务有限公司,http://company.zhaopin.com/CC379923731.htm,石家庄市高新区方亿科技园C区2号楼3层,东开发区,2019-04-26 11:09:14,本科,6千-8千,不限,1,石家庄,市场专员,"检验/检测/认证,环保,石油/石化/化工,学术/科研",100-499人
石家庄喜悦商贸有限公司,http://company.zhaopin.com/CZ378234410.htm,石家庄市桥西区槐安路城角街交口西城国际B座21楼,,2019-04-27 09:01:52,本科,1万-1.2万,5-10年,1,石家庄,人力资源总监,"耐用消费品（服饰/纺织/皮革/家具/家电）,互联网/电子商务,零售/批发",20-99人
郑州思念食品有限公司,http://special.zhaopin.com/zz/2013/11087/slsp110459,寺家庄镇雨润农产品全球采购市场冷库西区,裕华区,2019-04-28 08:51:47,大专,4千-6千,1-3年,1,石家庄,物流分仓管理主管,"快速消费品（食品/饮料/烟酒/日化）,房地产/建筑/建材/工程,跨领域经营,其他",10000人以上
石家庄君乐宝乳业有限公司,http://special.zhaopin.com/2016/sjz/sjzj030139,石铜路36号君乐宝乳业集团,鹿泉区,2019-04-29 10:33:55,硕士,4千-6千,3-5年,2,石家庄,战略专员,"快速消费品（食品/饮料/烟酒/日化）,快速消费品（食品/饮料/烟酒/日化）",1000-9999人
石家庄君乐宝乳业有限公司,http://special.zhaopin.com/2016/sjz/sjzj030139,鹿泉,,2019-04-29 10:34:09,本科,4千-6千,不限,10,石家庄,化验工程师,"快速消费品（食品/饮料/烟酒/日化）,快速消费品（食品/饮料/烟酒/日化）",1000-9999人
上海慧住信息科技有限公司,http://company.zhaopin.com/CZ844880780.htm,石家庄市新华区民族路77号华强广场东区5层华强国际双创中心,新华区,2019-04-23 20:34:59,大专,6千-1万,3-5年,1,石家庄,酒店店长-石家庄,"酒店/餐饮,IT|通信|电子|互联网",100-499人
上海慧住信息科技有限公司,http://company.zhaopin.com/CZ844880780.htm,石家庄市新华区民族路77号华强广场东区5层华强国际双创中心,,2019-04-25 13:06:35,大专,8千-1万,3-5年,40,石家庄,酒店店长/运营经理/酒店总经理,"酒店/餐饮,IT|通信|电子|互联网",100-499人
石家庄慧德源科技有限公司,http://company.zhaopin.com/CZ635873730.htm,石家庄,,2019-04-23 21:49:38,大专,8千-1万,不限,15,石家庄,电话销售+底薪8K+包住宿+课程顾问,"互联网/电子商务,IT服务(系统/数据/维护)",100-499人
龙游吴晗商贸有限公司,http://company.zhaopin.com/CZ863982350.htm,桥西区,桥西区,2019-04-26 12:58:38,中专,4千-6千,不限,1,石家庄,行政/前台,贸易/进出口,20-99人
石家庄厚德房地产开发有限公司,http://special.zhaopin.com/pagepublish/29648688/index.html,河北省石家庄市鹿泉区获鹿镇北斗东路8号,,2019-04-25 19:28:26,大专,3千-4千,1-3年,1,石家庄,销售秘书,房地产/建筑/建材/工程,100-499人
石家庄蜗牛企业管理咨询有限公司,http://company.zhaopin.com/CZ426686680.htm,新华区市庄路与九中街交口江西大厦4076室,,2019-04-24 15:41:40,大专,3千-5千,1-3年,5,石家庄,网络运维,互联网/电子商务,100-499人
石家庄新东方学校,http://company.zhaopin.com/CZ120002360D00100003873.htm,石家庄市槐安路建华大街交叉口万达广场写字楼C座24层,,2019-04-23 16:33:24,本科,3千-6千,不限,1,石家庄,人力资源部招聘专员,教育/培训/院校,100-499人
河北速恒贸易有限公司,http://company.zhaopin.com/CZ332612580.htm,河北省石家庄市裕华区润丰五金城综合办公楼,裕华区,2019-04-29 08:42:32,大专,4千-6千,1-3年,2,石家庄,天猫电商运营主管,"互联网/电子商务,耐用消费品（服饰/纺织/皮革/家具/家电）,零售/批发,酒店/餐饮",20-99人
河北先河环保科技股份有限公司,http://special.zhaopin.com/2018/sh/hbxh011599w/,河北省石家庄市开发区湘江道251号,,2019-04-22 09:42:51,本科,4千-6千,不限,6,石家庄,现场巡查工程师（全国出差）,"仪器仪表及工业自动化,环保,电子技术/半导体/集成电路",500-999人
石家庄九创友趣信息科技有限公司,http://company.zhaopin.com/CZ810010850.htm,新华区中华北大街27号鑫明商务楼2003-2002,新华区,2019-04-29 09:19:05,大专,3千-5千,不限,2,石家庄,总经理助理 无经验要求 包住 3.5k+,"通信/电信运营、增值服务,通信/电信/网络设备,互联网/电子商务,贸易/进出口",20-99人
衢州斑马网络科技有限公司,http://company.zhaopin.com/CZ457656780.htm,高新区,裕华区,2019-04-25 16:19:08,大专,4千-6千,不限,2,石家庄,财务专员【待遇优厚】,,全部
石家庄苏梵电子商务有限公司,http://company.zhaopin.com/CZ830909050.htm,裕华区翟营大街与东岗路交口春天广场5楼,,2019-04-24 10:54:26,大专,4千-6千,1-3年,5,石家庄,新媒体运营1,"互联网/电子商务,汽车/摩托车",500-999人
香港赛瑞集团医药有限公司,http://company.zhaopin.com/CZ641869730.htm,新华区华强广场,,2019-04-25 11:38:28,中专,1万-1.5万,不限,6,石家庄,会计、税审、财务主管、经理。,"医药/生物工程,医疗/护理/美容/保健/卫生服务",10000人以上
石家庄融尚科技有限公司,http://company.zhaopin.com/CZ381216510.htm,裕华区槐安路与富强大街西南角北大科技园17层,,2019-04-27 19:03:27,本科,5千-1万,3-5年,3,石家庄,数据库开发工程师,"互联网/电子商务,计算机软件,IT服务(系统/数据/维护),IT|通信|电子|互联网",100-499人
河北荒原教育科技有限公司,http://company.zhaopin.com/CZ825602180.htm,石家庄 石家庄新华区中华北大街颐宏大厦A座1102,,2019-04-28 15:03:51,本科,1万-1.5万,3-5年,2,石家庄,运营总监,"教育/培训/院校,学术/科研",20-99人
上海钫枫机电技术有限公司,http://company.zhaopin.com/CZ834126950.htm,石家庄,,2019-04-24 19:01:04,大专,8千-1万,1-3年,5,石家庄,酒店店长,仪器仪表及工业自动化,500-999人
河北速恒贸易有限公司,http://company.zhaopin.com/CZ332612580.htm,河北省石家庄市裕华区润丰五金城,裕华区,2019-04-29 08:42:28,大专,4千-8千,1-3年,1,石家庄,社交电商渠道运营,"互联网/电子商务,耐用消费品（服饰/纺织/皮革/家具/家电）,零售/批发,酒店/餐饮",20-99人
衢州斑马网络科技有限公司,http://company.zhaopin.com/CZ457656780.htm,桥西区,桥西区,2019-04-25 16:18:53,大专,4千-6千,不限,2,石家庄,财务助理【周末双休】,,全部
河北旭尊实业集团有限公司石家庄第三分公司,http://company.zhaopin.com/CZ817344580.htm,长安区东大街5号开元金融中心（希尔顿）7楼,,2019-04-29 10:19:33,大专,8千-1.2万,5-10年,2,石家庄,团队经理8700起,汽车/摩托车,100-499人
河北旭尊实业集团有限公司石家庄第一分公司,http://company.zhaopin.com/CC453479588.htm,鹿诚商务,,2019-04-23 13:43:37,不限,8千-1万,3-5年,3,石家庄,团队经理8700起,基金/证券/期货/投资,100-499人
河北速恒贸易有限公司,http://company.zhaopin.com/CZ332612580.htm,河北省石家庄市裕华区南二环建设大街交叉口润丰五金城综合办公楼,裕华区,2019-04-29 08:42:29,不限,1万-1.5万,不限,1,石家庄,天猫电商运营主管,"互联网/电子商务,耐用消费品（服饰/纺织/皮革/家具/家电）,零售/批发,酒店/餐饮",20-99人
河北浣之科技有限公司,http://company.zhaopin.com/CZ601790080.htm,黄河大道与祁连街交叉口慧谷大厦B座16层,东开发区,2019-04-22 15:51:42,不限,6千-8千,无经验,5,石家庄,市场专员,互联网/电子商务,100-499人
河北速恒贸易有限公司,http://company.zhaopin.com/CZ332612580.htm,河北省石家庄建设南大街润丰五金城办公区,,2019-04-29 08:42:30,大专,4千-6千,1-3年,1,石家庄,商品主管,"互联网/电子商务,耐用消费品（服饰/纺织/皮革/家具/家电）,零售/批发,酒店/餐饮",20-99人
北京元气森林饮料有限公司,http://company.zhaopin.com/CZ812921020.htm,石家庄,,2019-04-29 09:51:57,大专,8千-1万,3-5年,4,石家庄,销售经理（乳品）,"快速消费品（食品/饮料/烟酒/日化）,互联网/电子商务",100-499人
石家庄华枝叶满商贸有限公司,http://company.zhaopin.com/CZ580864580.htm,桥西区中山西路梧桐商务16楼,,2019-04-23 14:12:47,大专,6千-8千,不限,5,石家庄,淘宝，天猫运营推广助理专员  （双休）,"其他,其他",100-499人
河北神玥软件科技股份有限公司,http://special.zhaopin.com/pagepublish/57070172/index.html,鹿泉经济开发区御园路39号,,2019-04-28 17:02:03,本科,4千-8千,1-3年,5,石家庄,运维工程师,计算机软件,100-499人
石家庄晨光办公用品有限公司,http://company.zhaopin.com/CZ672543080.htm,中山路乐汇城写字楼C座1401,长安区,2019-04-29 08:49:26,不限,3千-6千,不限,5,石家庄,商品统计,"快速消费品（食品/饮料/烟酒/日化）,零售/批发",100-499人
石家庄君乐宝乳业有限公司,http://special.zhaopin.com/2016/sjz/sjzj030139,桥西区君合商务中心,,2019-04-29 10:34:18,大专,2千-4千,不限,1,石家庄,直营会计（石家庄）,"快速消费品（食品/饮料/烟酒/日化）,快速消费品（食品/饮料/烟酒/日化）",1000-9999人
河北万康润在网络科技有限公司,http://company.zhaopin.com/CZ598138320.htm,裕华区体育南大街与东岗路交口怀特红木楼,,2019-04-22 09:20:50,大专,3千-5千,1-3年,1,石家庄,商品专员,"互联网/电子商务,礼品/玩具/工艺美术/收藏品/奢侈品",100-499人
河北浣之科技有限公司,http://company.zhaopin.com/CZ601790080.htm,东开发区黄河大道与祁连街交口慧谷大厦,东开发区,2019-04-25 10:14:56,中专,4千-6千,1-3年,5,石家庄,市场专员 双休,互联网/电子商务,100-499人
河北晨阳汽车贸易有限公司,http://company.zhaopin.com/CC256239317.htm,石家庄市鹿泉开发区龙泉东路168号,,2019-04-27 10:24:46,大专,2千-4千,1-3年,1,石家庄,办公室文员,"零售/批发,汽车/摩托车,广告/会展/公关,基金/证券/期货/投资",100-499人
中国勒泰商业地产集团,http://company.zhaopin.com/CZ579581520.htm,长安区中山东路39号勒泰B座写字楼8楼,,2019-04-23 07:54:07,本科,2万-4万,10年以上,1,石家庄,信息总监,"房地产/建筑/建材/工程,物业管理/商业中心",1000-9999人
石家庄东尚服饰贸易有限公司,http://special.zhaopin.com/pagepublish/61500202/index.html,石家庄中山东路11号乐汇城C座16层,长安区,2019-04-24 09:01:57,大专,8千-1万,5-10年,1,石家庄,零售经理,零售/批发,100-499人
石家庄云时网络技术有限公司,http://company.zhaopin.com/CZ714661830.htm,西里街道时光街与槐安路交口西行20米路北石家庄桥西区槐安路与时光街交叉口西北角翠堤春晓写字楼18楼02室,,2019-04-26 16:44:50,不限,8千-1万,1-3年,1,石家庄,竞价,互联网/电子商务,20-99人
石家庄粉佳人文化产业发展有限公司,http://company.zhaopin.com/CZ844361830.htm,石家庄中山东路172号，粉佳人蒙娜丽莎4楼,,2019-04-22 10:21:35,大专,2千-4千,不限,1,石家庄,统计,"媒体/出版/影视/文化传播,媒体/出版/影视/文化传播",100-499人
石家庄市鹿泉区有成教育培训学校,http://company.zhaopin.com/CZ457875530.htm,石家庄市鹿泉区政府对面西部峰景小区北门西行50米,,2019-04-27 09:04:50,大专,4千-8千,3-5年,1,石家庄,鹿泉区早教市场主管,教育/培训/院校,100-499人
石家庄市新华区金泽文化艺术培训学校,http://company.zhaopin.com/CZ501410620.htm,石家庄市中华大街与北二环交口,新华区,2019-04-24 08:36:01,大专,4千-6千,1-3年,1,石家庄,sem专员,"教育/培训/院校,专业服务/咨询(财会/法律/人力资源等),媒体/出版/影视/文化传播,学术/科研",500-999人
云南幻日网络科技有限公司,http://company.zhaopin.com/CZ840933260.htm,中山东路253号2号写字楼2302,长安区,2019-04-26 19:10:10,大专,4千-8千,3-5年,1,石家庄,社群运营,互联网/电子商务,20人以下
中融科创信息技术河北有限公司,http://company.zhaopin.com/CZ302181030.htm,石家庄谈固大街北二环东行100米路南天洲国际中心11层,,2019-04-28 11:16:15,硕士,4千-6千,1-3年,3,石家庄,技术支持经理,"外包服务,专业服务/咨询(财会/法律/人力资源等)",20-99人
河北顿洁供应链管理有限公司,http://company.zhaopin.com/CZ644431480.htm,东二环槐安路博文家园西侧,,2019-04-23 11:37:10,大专,3千-5千,1-3年,2,石家庄,社群运营专员,快速消费品（食品/饮料/烟酒/日化）,100-499人
北京逐鹿企业管理咨询有限公司,http://company.zhaopin.com/CC201774739.htm,石家庄建华北大街31号广天大厦,,2019-04-28 10:02:19,本科,1万-1.5万,5-10年,1,石家庄,学习发展经理（五险一金＋双休＋培训）,"教育/培训/院校,专业服务/咨询(财会/法律/人力资源等),房地产/建筑/建材/工程,快速消费品（食品/饮料/烟酒/日化）",20-99人
河北中商云搜广告传媒有限公司,http://company.zhaopin.com/CZ627467080.htm,石家庄市中山东路东方新世界中心2001,长安区,2019-04-23 09:07:41,大专,4千-6千,不限,5,石家庄,短视频运营顾问,互联网/电子商务,100-499人
河北瑞轩文化传播有限公司,http://company.zhaopin.com/CZ599548080.htm,河北省石家庄市谈固南大街与槐安路交口南行100米路西,,2019-04-20 10:58:46,大专,6千-8千,1-3年,1,石家庄,教研主任,"教育/培训/院校,媒体/出版/影视/文化传播",20-99人
石家庄冉迪商贸有限公司,http://company.zhaopin.com/CZ656118420.htm,石家庄新华区联盟路百盛朗廷2单元1404,新华区,2019-04-22 11:57:22,大专,2千-4千,不限,1,石家庄,视频策划创作,"互联网/电子商务,医疗/护理/美容/保健/卫生服务,专业服务/咨询(财会/法律/人力资源等),计算机软件",20人以下
河北拓普电气有限公司,http://company.zhaopin.com/CZ229592510.htm,河北省石家庄市高新区太行大街498号,东开发区,2019-04-27 19:07:57,大专,3.5千-6千,1-3年,1,石家庄,投标助理,"电气/电力/水利,加工制造（原料加工/模具）",20-99人
河北盘达商贸有限公司,http://company.zhaopin.com/CC439390388.htm,石家庄广安大街，财富大厦A座3205,,2019-04-26 22:17:01,大专,3千-5千,不限,3,石家庄,阿里巴巴国际站运营,"互联网/电子商务,贸易/进出口",20-99人
河北中商云搜广告传媒有限公司,http://company.zhaopin.com/CZ627467080.htm,石家庄市中山东路东方新世界中心2001,长安区,2019-04-23 09:07:42,大专,4千-6千,不限,1,石家庄,快手信息流优化师,互联网/电子商务,100-499人
河北顺诺商贸有限公司,http://company.zhaopin.com/CZ595012020.htm,石家庄市裕华区槐安路与富强大街交口怀特商业广场D座13层,裕华区,2019-04-24 09:09:44,大专,3千-4千,1年以下,1,石家庄,物流统计文员,"快速消费品（食品/饮料/烟酒/日化）,广告/会展/公关",100-499人
